               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090416,            0.036031,            0.015343,             0.78698,             0.10426,            0.076122,            0.029643,            0.071953,             0.02628,           0.0072137,             0.07002,           0.0033311,           0.0033311
                   1,            0.073854,            0.035428,           0.0078934,             0.53506,             0.17926,             0.11724,            0.046772,            0.067561,            0.025565,           0.0060829,              0.0398,           0.0064445,           0.0064445
                   2,            0.070538,            0.035028,           0.0068627,             0.52574,             0.17643,              0.1194,            0.050761,            0.066306,            0.025114,           0.0053411,           0.0093602,           0.0093379,           0.0093379
                   3,            0.067472,            0.035043,           0.0063969,             0.53012,             0.18622,             0.13299,            0.060085,            0.063282,            0.025288,            0.004927,             0.00901,             0.00901,             0.00901
                   4,            0.065601,            0.035266,           0.0060995,             0.52238,             0.19287,             0.13912,            0.062936,            0.061425,            0.025026,           0.0045082,             0.00901,             0.00901,             0.00901
                   5,            0.063719,             0.03505,           0.0054396,             0.22406,              0.2435,             0.15112,            0.068753,            0.059642,            0.024843,           0.0041776,             0.00868,             0.00868,             0.00868
                   6,            0.062296,            0.034102,           0.0051846,             0.26779,             0.27079,             0.16741,            0.076036,            0.059591,            0.024703,           0.0039826,             0.00835,             0.00835,             0.00835
                   7,             0.06168,            0.034312,           0.0050786,             0.29667,             0.26029,             0.17046,            0.076389,            0.058062,            0.024451,           0.0037288,             0.00802,             0.00802,             0.00802
                   8,             0.06059,            0.034406,           0.0047869,             0.31061,             0.26845,             0.17648,            0.080014,            0.057878,            0.024536,           0.0036509,             0.00769,             0.00769,             0.00769
                   9,            0.060213,            0.034447,           0.0046145,             0.28037,             0.27181,             0.17615,            0.081091,            0.057287,            0.024401,           0.0035321,             0.00736,             0.00736,             0.00736
                  10,            0.059825,            0.034226,           0.0045836,             0.31806,             0.26349,             0.18359,            0.084547,              0.0569,            0.024326,           0.0032874,             0.00703,             0.00703,             0.00703
                  11,            0.058987,            0.034112,           0.0044265,             0.31191,             0.27863,             0.19156,            0.088957,            0.055896,            0.024102,           0.0033969,              0.0067,              0.0067,              0.0067
                  12,            0.058578,            0.034013,           0.0040394,             0.32896,             0.28633,             0.19344,            0.086899,            0.056194,            0.024171,           0.0031467,             0.00637,             0.00637,             0.00637
                  13,            0.058402,            0.033959,           0.0040877,             0.30794,             0.29123,             0.19411,            0.086779,            0.055772,            0.023946,           0.0030963,             0.00604,             0.00604,             0.00604
                  14,            0.058132,            0.034072,           0.0038856,             0.30491,             0.28406,             0.19278,            0.089265,            0.055368,            0.024132,           0.0030359,             0.00571,             0.00571,             0.00571
                  15,            0.057346,            0.033566,           0.0039804,             0.33208,             0.28733,             0.20175,            0.091671,            0.054865,            0.024103,           0.0030096,             0.00538,             0.00538,             0.00538
                  16,             0.05697,             0.03338,           0.0038329,             0.32434,             0.30896,             0.20311,            0.092606,            0.054581,            0.024128,            0.002904,             0.00505,             0.00505,             0.00505
                  17,            0.056601,            0.033665,           0.0038078,             0.32573,             0.30659,             0.20674,            0.094623,            0.054187,            0.023983,           0.0028092,             0.00472,             0.00472,             0.00472
                  18,            0.056325,             0.03337,           0.0037471,             0.33645,             0.29645,             0.20987,            0.097332,            0.054342,            0.024108,           0.0027983,             0.00439,             0.00439,             0.00439
                  19,             0.05588,            0.032875,            0.003367,             0.38335,             0.31328,              0.2221,              0.1032,             0.05359,            0.023896,           0.0025941,             0.00406,             0.00406,             0.00406
                  20,             0.05563,            0.033413,           0.0032851,             0.34791,             0.31614,             0.21946,              0.1006,            0.053272,            0.023871,           0.0026731,             0.00373,             0.00373,             0.00373
                  21,            0.055046,            0.032816,           0.0035133,             0.36329,             0.30662,             0.22275,             0.10508,              0.0531,            0.023718,           0.0024736,              0.0034,              0.0034,              0.0034
                  22,            0.054681,             0.03293,           0.0032701,             0.35839,             0.33393,             0.22607,             0.10225,            0.053172,            0.023888,            0.002509,             0.00307,             0.00307,             0.00307
                  23,            0.054711,            0.032841,            0.003072,             0.35747,             0.31955,             0.23208,             0.10633,            0.052611,             0.02364,           0.0023288,             0.00274,             0.00274,             0.00274
                  24,            0.054178,            0.032526,           0.0031228,             0.34773,              0.3304,             0.23492,              0.1103,            0.052427,            0.023763,           0.0024955,             0.00241,             0.00241,             0.00241
                  25,            0.053812,            0.032473,           0.0029105,             0.34549,             0.33819,             0.23311,             0.10731,            0.052204,            0.023888,           0.0024523,             0.00208,             0.00208,             0.00208
                  26,            0.053578,            0.032646,           0.0030579,             0.36423,             0.33207,             0.23668,             0.10888,             0.05199,            0.023772,           0.0022383,             0.00175,             0.00175,             0.00175
                  27,            0.053149,            0.032525,             0.00289,             0.34981,             0.34247,             0.23553,             0.10882,            0.051856,            0.023674,           0.0022367,             0.00142,             0.00142,             0.00142
                  28,            0.052914,            0.032747,           0.0030087,             0.35767,             0.33542,             0.23945,             0.11103,            0.051591,            0.023683,           0.0022139,             0.00109,             0.00109,             0.00109
                  29,            0.052774,            0.032805,            0.002777,             0.36237,             0.34098,              0.2408,             0.11047,             0.05155,            0.023561,           0.0022221,             0.00076,             0.00076,             0.00076
